 "ZEIT[h]" "NOVF  1" "NOVF  2"
   17.333     0.000     0.000
   17.500     0.000     0.000
   17.667     0.000     0.000
   17.833     0.000     0.000
   18.000     0.000     0.000
   18.167     0.000     0.000
   18.333     0.000     0.000
   18.500     0.000     0.000
   18.667     0.000     0.000
   18.833     0.000     0.000
   19.000     0.000     0.000
   19.167     0.000     0.000
   19.333     0.000     0.000
   19.500     0.000     0.000
   19.667     0.000     0.000
   19.833     0.000     0.000
   20.000     0.000     0.000
   20.167     0.000     0.000
   20.333     0.000     0.000
   20.500     0.000     0.000
   20.667     0.000     0.000
   20.833     0.000     0.000
   21.000     0.000     0.000
   21.167     0.000     0.000
   21.333     0.000     0.000
   21.500     0.000     0.000
   21.667     0.000     0.000
   21.833     0.000     0.000
   22.000     0.000     0.000
   22.167     0.000     0.000
   22.333     0.000     0.000
   22.500     0.000     0.000
   22.667     0.000     0.000
   22.833     0.000     0.000
   23.000     0.000     0.000
   23.167     0.000     0.000
   23.333     0.000     0.000
   23.500     0.000     0.000
   23.667     0.000     0.000
   23.833     0.000     0.000
   24.000     0.000     0.000
   24.167     0.000     0.000
   24.333     0.000     0.000
   24.500     0.000     0.000
   24.667     0.000     0.000
   24.833     0.000     0.000
   25.000     0.000     0.000
   25.167     0.000     0.000
   25.333     0.000     0.000
   25.500     0.000     0.000
   25.667     0.000     0.000
   25.833     0.000     0.000
   26.000     0.000     0.000
   26.167     0.000     0.000
   26.333     0.000     0.000
   26.500     0.000     0.000
   26.667     0.000     0.000
   26.833     0.000     0.000
   27.000     0.000     0.000
   27.167     0.000     0.000
   27.333     0.000     0.000
   27.500     0.000     0.000
   27.667     0.000     0.000
   27.833     0.000     0.000
   28.000     0.000     0.000
   28.167     0.000     0.000
   28.333     0.000     0.000
   28.500     0.000     0.000
   28.667     0.000     0.000
   28.833     0.000     0.000
   29.000     0.000     0.000
   29.167     0.000     0.000
   29.333     0.000     0.000
   29.500     0.000     0.000
   29.667     0.000     0.000
   29.833     0.000     0.000
   30.000     0.000     0.000
   30.167     0.000     0.000
   30.333     0.000     0.000
   30.500     0.000     0.000
   30.667     0.000     0.000
   30.833     0.000     0.000
   31.000     0.000     0.000
   31.167     0.000     0.000
   31.333     0.000     0.000
   31.500     0.000     0.000
   31.667     0.000     0.000
   31.833     0.000     0.000
   32.000     0.000     0.000
   32.167     0.000     0.000
   32.333     0.000     0.000
   32.500     0.000     0.000
   32.667     0.000     0.000
   32.833     0.000     0.000
   33.000     0.000     0.000
   33.167     0.000     0.000
   33.333     0.000     0.000
   33.500     0.000     0.000
   33.667     0.000     0.000
   33.833     0.000     0.000
   34.000     0.000     0.000
   34.167     0.000     0.000
   34.333     0.000     0.000
   34.500     0.000     0.000
   34.667     0.000     0.000
   34.833     0.000     0.000
   35.000     0.000     0.000
   35.167     0.000     0.000
   35.333     0.000     0.000
   35.500     0.000     0.000
   35.667     0.000     0.000
   35.833     0.000     0.000
   36.000     0.000     0.000
   36.167     0.000     0.000
   36.333     0.000     0.000
   36.500     0.000     0.000
   36.667     0.000     0.000
   36.833     0.000     0.000
   37.000     0.000     0.000
   37.167     0.000     0.000
   37.333     0.000     0.000
   37.500     0.000     0.000
   37.667     0.000     0.000
   37.833     0.000     0.000
   38.000     0.000     0.000
   38.167     0.000     0.000
   38.333     0.000     0.000
   38.500     0.000     0.000
   38.667     0.000     0.000
   38.833     0.000     0.000
   39.000     0.000     0.000
   39.167     0.000     0.000
   39.333     0.000     0.000
   39.500     0.000     0.000
   39.667     0.000     0.000
   39.833     0.000     0.000
   40.000     0.000     0.000
   40.167     0.000     0.000
   40.333     0.000     0.000
   40.500     0.000     0.000
   40.667     0.000     0.000
   40.833     0.000     0.000
   41.000     0.000     0.000
   41.167     0.000     0.000
   41.333     0.000     0.000
   41.500     0.000     0.000
   41.667     0.000     0.000
   41.833     0.000     0.000
   42.000     0.000     0.000
   42.167     0.000     0.000
   42.333     0.000     0.000
   42.500     0.000     0.000
   42.667     0.000     0.000
   42.833     0.000     0.000
   43.000     0.000     0.000
   43.167     0.000     0.000
   43.333     0.000     0.000
   43.500     0.000     0.000
   43.667     0.000     0.000
   43.833     0.000     0.000
   44.000     0.000     0.000
   44.167     0.000     0.000
   44.333     0.000     0.000
   44.500     0.000     0.000
   44.667     0.000     0.000
   44.833     0.000     0.000
   45.000     0.000     0.000
   45.167     0.000     0.000
   45.333     0.000     0.000
   45.500     0.000     0.000
   45.667     0.000     0.000
   45.833     0.000     0.000
   46.000     0.000     0.000
   46.167     0.000     0.000
   46.333     0.000     0.000
   46.500     0.000     0.000
   46.667     0.000     0.000
   46.833     0.000     0.000
   47.000     0.000     0.000
   47.167     0.000     0.000
   47.333     0.000     0.000
   47.500     0.000     0.000
   47.667     0.000     0.000
   47.833     0.000     0.000
   48.000     0.000     0.000
   48.167     0.000     0.000
   48.333     0.000     0.000
   48.500     0.000     0.000
   48.667     0.000     0.000
   48.833     0.000     0.000
   49.000     0.000     0.000
   49.167     0.000     0.000
   49.333     0.000     0.000
   49.500     0.000     0.000
   49.667     0.000     0.000
   49.833     0.000     0.000
   50.000     0.000     0.000
   50.167     0.000     0.000
   50.333     0.000     0.000
   50.500     0.000     0.000
   50.667     0.000     0.000
   50.833     0.000     0.000
   51.000     0.000     0.000
   51.167     0.000     0.000
   51.333     0.000     0.000
   51.500     0.000     0.000
   51.667     0.000     0.000
   51.833     0.000     0.000
   52.000     0.000     0.000
   52.167     0.000     0.000
   52.333     0.000     0.000
   52.500     0.000     0.000
   52.667     0.000     0.000
   52.833     0.000     0.000
   53.000     0.000     0.000
   53.167     0.000     0.000
   53.333     0.000     0.000
   53.500     0.000     0.000
   53.667     0.000     0.000
   53.833     0.000     0.000
   54.000     0.000     0.000
   54.167     0.000     0.000
   54.333     0.000     0.000
   54.500     0.000     0.000
   54.667     0.000     0.000
   54.833     0.000     0.000
   55.000     0.000     0.000
   55.167     0.000     0.000
   55.333     0.000     0.000
   55.500     0.000     0.000
   55.667     0.000     0.000
   55.833     0.000     0.000
   56.000     0.000     0.000
   56.167     0.000     0.000
   56.333     0.000     0.000
   56.500     0.000     0.000
   56.667     0.000     0.000
   56.833     0.000     0.000
   57.000     0.000     0.000
   57.167     0.000     0.000
   57.333     0.000     0.000
   57.500     0.000     0.000
   57.667     0.000     0.000
   57.833     0.000     0.000
   58.000     0.000     0.000
   58.167     0.000     0.000
   58.333     0.000     0.000
   58.500     0.000     0.000
   58.667     0.000     0.000
   58.833     0.000     0.000
   59.000     0.000     0.000
   59.167     0.000     0.000
   59.333     0.000     0.000
   59.500     0.000     0.000
   59.667     0.000     0.000
   59.833     0.000     0.000
   60.000     0.000     0.000
   60.167     0.000     0.000
   60.333     0.000     0.000
   60.500     0.000     0.000
   60.667     0.000     0.000
   60.833     0.000     0.000
   61.000     0.000     0.000
   61.167     0.000     0.000
   61.333     0.000     0.000
   61.500     0.000     0.000
   61.667     0.000     0.000
   61.833     0.000     0.000
   62.000     0.000     0.000
   62.167     0.000     0.000
   62.333     0.000     0.000
   62.500     0.000     0.000
   62.667     0.000     0.000
   62.833     0.000     0.000
   63.000     0.000     0.000
   63.167     0.000     0.000
   63.333     0.000     0.000
   63.500     0.000     0.000
   63.667     0.000     0.000
   63.833     0.000     0.000
   64.000     0.000     0.000
   64.167     0.000     0.000
   64.333     0.000     0.000
   64.500     0.000     0.000
   64.667     0.000     0.000
   64.833     0.000     0.000
   65.000     0.000     0.000
   65.167     0.000     0.000
   65.333     0.000     0.000
   65.500     0.000     0.000
   65.667     0.000     0.000
   65.833     0.000     0.000
   66.000     0.000     0.000
   66.167     0.000     0.000
   66.333     0.000     0.000
   66.500     0.000     0.000
   66.667     0.000     0.000
   66.833     0.000     0.000
   67.000     0.000     0.000
   67.167     0.000     0.000
   67.333     0.000     0.000
   67.500     0.000     0.000
   67.667     0.000     0.000
   67.833     0.000     0.000
   68.000     0.000     0.000
   68.167     0.000     0.000
   68.333     0.000     0.000
   68.500     0.000     0.000
   68.667     0.000     0.000
   68.833     0.000     0.000
   69.000     0.000     0.000
   69.167     0.000     0.000
   69.333     0.000     0.000
   69.500     0.000     0.000
   69.667     0.000     0.000
   69.833     0.000     0.000
   70.000     0.000     0.000
   70.167     0.000     0.000
   70.333     0.000     0.000
   70.500     0.000     0.000
   70.667     0.000     0.000
   70.833     0.000     0.000
   71.000     0.000     0.000
   71.167     0.000     0.000
   71.333     0.000     0.000
   71.500     0.000     0.000
   71.667     0.000     0.000
   71.833     0.000     0.000
   72.000     0.000     0.000
   72.167     0.000     0.000
   72.333     0.000     0.000
   72.500     0.000     0.000
   72.667     0.000     0.000
   72.833     0.000     0.000
   73.000     0.000     0.000
   73.167     0.000     0.000
   73.333     0.000     0.000
   73.500     0.000     0.000
   73.667     0.000     0.000
   73.833     0.000     0.000
   74.000     0.000     0.000
   74.167     0.000     0.000
   74.333     0.000     0.000
   74.500     0.000     0.000
   74.667     0.000     0.000
   74.833     0.000     0.000
   75.000     0.000     0.000
   75.167     0.000     0.000
   75.333     0.000     0.000
   75.500     0.000     0.000
   75.667     0.000     0.000
   75.833     0.000     0.000
   76.000     0.000     0.000
   76.167     0.000     0.000
   76.333     0.000     0.000
   76.500     0.000     0.000
   76.667     0.000     0.000
   76.833     0.000     0.000
   77.000     0.000     0.000
   77.167     0.000     0.000
   77.333     0.000     0.000
   77.500     0.000     0.000
   77.667     0.000     0.000
   77.833     0.000     0.000
   78.000     0.000     0.000
   78.167     0.000     0.000
   78.333     0.000     0.000
   78.500     0.000     0.000
   78.667     0.000     0.000
   78.833     0.000     0.000
   79.000     0.000     0.000
   79.167     0.000     0.000
   79.333     0.000     0.000
   79.500     0.000     0.000
   79.667     0.000     0.000
   79.833     0.000     0.000
   80.000     0.000     0.000
   80.167     0.000     0.000
   80.333     0.000     0.000
   80.500     0.000     0.000
   80.667     0.000     0.000
   80.833     0.000     0.000
   81.000     0.000     0.000
   81.167     0.000     0.000
   81.333     0.000     0.000
   81.500     0.000     0.000
   81.667     0.000     0.000
   81.833     0.000     0.000
   82.000     0.000     0.000
   82.167     0.000     0.000
   82.333     0.000     0.000
   82.500     0.000     0.000
   82.667     0.000     0.000
   82.833     0.000     0.000
   83.000     0.000     0.000
   83.167     0.000     0.000
   83.333     0.000     0.000
   83.500     0.000     0.000
   83.667     0.000     0.000
   83.833     0.000     0.000
   84.000     0.000     0.000
   84.167     0.000     0.000
   84.333     0.000     0.000
   84.500     0.000     0.000
   84.667     0.000     0.000
   84.833     0.000     0.000
   85.000     0.000     0.000
   85.167     0.000     0.000
   85.333     0.000     0.000
   85.500     0.000     0.000
   85.667     0.000     0.000
   85.833     0.000     0.000
   86.000     0.000     0.000
   86.167     0.000     0.000
   86.333     0.000     0.000
   86.500     0.000     0.000
   86.667     0.000     0.000
   86.833     0.000     0.000
   87.000     0.000     0.000
   87.167     0.000     0.000
   87.333     0.000     0.000
   87.500     0.000     0.000
   87.667     0.000     0.000
   87.833     0.000     0.000
   88.000     0.000     0.000
   88.167     0.000     0.000
   88.333     0.000     0.000
   88.500     0.000     0.000
   88.667     0.000     0.000
   88.833     0.000     0.000
   89.000     0.000     0.000
   89.167     0.000     0.000
   89.333     0.000     0.000
   89.500     0.000     0.000
   89.667     0.000     0.000
   89.833     0.000     0.000
   90.000     0.000     0.000
   90.167     0.000     0.000
   90.333     0.000     0.000
   90.500     0.000     0.000
   90.667     0.000     0.000
   90.833     0.000     0.000
   91.000     0.000     0.000
   91.167     0.000     0.000
   91.333     0.000     0.000
   91.500     0.000     0.000
   91.667     0.000     0.000
   91.833     0.000     0.000
   92.000     0.000     0.000
   92.167     0.000     0.000
   92.333     0.000     0.000
   92.500     0.000     0.000
   92.667     0.000     0.000
   92.833     0.000     0.000
   93.000     0.000     0.000
   93.167     0.000     0.000
   93.333     0.000     0.000
   93.500     0.000     0.000
   93.667     0.000     0.000
   93.833     0.000     0.000
   94.000     0.000     0.000
   94.167     0.000     0.000
   94.333     0.000     0.000
   94.500     0.000     0.000
   94.667     0.000     0.000
   94.833     0.000     0.000
   95.000     0.000     0.000
   95.167     0.000     0.000
   95.333     0.000     0.000
   95.500     0.000     0.000
   95.667     0.000     0.000
   95.833     0.000     0.000
   96.000     0.000     0.000
   96.167     0.000     0.000
   96.333     0.000     0.000
   96.500     0.000     0.000
   96.667     0.000     0.000
   96.833     0.000     0.000
   97.000     0.000     0.000
   97.167     0.000     0.000
   97.333     0.000     0.000
   97.500     0.000     0.000
   97.667     0.000     0.000
   97.833     0.000     0.000
   98.000     0.000     0.000
   98.167     0.000     0.000
   98.333     0.000     0.000
   98.500     0.000     0.000
   98.667     0.000     0.000
   98.833     0.000     0.000
   99.000     0.000     0.000
   99.167     0.000     0.000
   99.333     0.000     0.000
   99.500     0.000     0.000
   99.667     0.000     0.000
   99.833     0.000     0.000
  100.000     0.000     0.000
  100.167     0.000     0.000
  100.333     0.000     0.000
  100.500     0.000     0.000
  100.667     0.000     0.000
  100.833     0.000     0.000
  101.000     0.000     0.000
  101.167     0.000     0.000
  101.333     0.000     0.000
  101.500     0.000     0.000
  101.667     0.000     0.000
  101.833     0.000     0.000
  102.000     0.000     0.000
  102.167     0.000     0.000
  102.333     0.000     0.000
  102.500     0.000     0.000
  102.667     0.000     0.000
  102.833     0.000     0.000
  103.000     0.000     0.000
  103.167     0.000     0.000
  103.333     0.000     0.000
  103.500     0.000     0.000
  103.667     0.000     0.000
  103.833     0.000     0.000
  104.000     0.000     0.000
  104.167     0.000     0.000
  104.333     0.000     0.000
  104.500     0.000     0.000
  104.667     0.000     0.000
  104.833     0.000     0.000
  105.000     0.000     0.000
  105.167     0.000     0.000
  105.333     0.000     0.000
  105.500     0.000     0.000
  105.667     0.000     0.000
  105.833     0.000     0.000
  106.000     0.000     0.000
  106.167     0.000     0.000
  106.333     0.000     0.000
  106.500     0.000     0.000
  106.667     0.000     0.000
  106.833     0.000     0.000
  107.000     0.000     0.000
  107.167     0.000     0.000
  107.333     0.000     0.000
  107.500     0.000     0.000
  107.667     0.000     0.000
  107.833     0.000     0.000
  108.000     0.000     0.000
  108.167     0.000     0.000
  108.333     0.000     0.000
  108.500     0.000     0.000
  108.667     0.000     0.000
  108.833     0.000     0.000
  109.000     0.000     0.000
  109.167     0.000     0.000
  109.333     0.000     0.000
  109.500     0.000     0.000
  109.667     0.000     0.000
  109.833     0.000     0.000
  110.000     0.000     0.000
  110.167     0.000     0.000
  110.333     0.000     0.000
  110.500     0.000     0.000
  110.667     0.000     0.000
  110.833     0.000     0.000
  111.000     0.000     0.000
  111.167     0.000     0.000
  111.333     0.000     0.000
  111.500     0.000     0.000
  111.667     0.000     0.000
  111.833     0.000     0.000
  112.000     0.000     0.000
  112.167     0.000     0.000
  112.333     0.000     0.000
  112.500     0.000     0.000
  112.667     0.000     0.000
  112.833     0.000     0.000
  113.000     0.000     0.000
  113.167     0.000     0.000
  113.333     0.000     0.000
  113.500     0.000     0.000
  113.667     0.000     0.000
  113.833     0.000     0.000
  114.000     0.000     0.000
  114.167     0.000     0.000
  114.333     0.000     0.000
  114.500     0.000     0.000
  114.667     0.000     0.000
  114.833     0.000     0.000
  115.000     0.000     0.000
  115.167     0.000     0.000
  115.333     0.000     0.000
  115.500     0.000     0.000
  115.667     0.000     0.000
  115.833     0.000     0.000
  116.000     0.000     0.000
  116.167     0.000     0.000
  116.333     0.000     0.000
  116.500     0.000     0.000
  116.667     0.000     0.000
  116.833     0.000     0.000
  117.000     0.000     0.000
  117.167     0.000     0.000
  117.333     0.000     0.000
  117.500     0.000     0.000
  117.667     0.000     0.000
  117.833     0.000     0.000
  118.000     0.000     0.000
  118.167     0.000     0.000
  118.333     0.000     0.000
  118.500     0.000     0.000
  118.667     0.000     0.000
  118.833     0.000     0.000
  119.000     0.000     0.000
  119.167     0.000     0.000
  119.333     0.000     0.000
  119.500     0.000     0.000
  119.667     0.000     0.000
  119.833     0.000     0.000
  120.000     0.000     0.000
  120.167     0.000     0.000
  120.333     0.000     0.000
  120.500     0.000     0.000
  120.667     0.000     0.000
  120.833     0.000     0.000
  121.000     0.000     0.000
  121.167     0.000     0.000
  121.333     0.000     0.000
  121.500     0.000     0.000
  121.667     0.000     0.000
  121.833     0.000     0.000
  122.000     0.000     0.000
  122.167     0.000     0.000
  122.333     0.000     0.000
  122.500     0.000     0.000
  122.667     0.000     0.000
  122.833     0.000     0.000
  123.000     0.000     0.000
  123.167     0.000     0.000
  123.333     0.000     0.000
  123.500     0.000     0.000
  123.667     0.000     0.000
  123.833     0.000     0.000
  124.000     0.000     0.000
  124.167     0.000     0.000
  124.333     0.000     0.000
  124.500     0.000     0.000
  124.667     0.000     0.000
  124.833     0.000     0.000
  125.000     0.000     0.000
  125.167     0.000     0.000
  125.333     0.000     0.000
  125.500     0.000     0.000
  125.667     0.000     0.000
  125.833     0.000     0.000
  126.000     0.000     0.000
  126.167     0.000     0.000
  126.333     0.000     0.000
  126.500     0.000     0.000
  126.667     0.000     0.000
  126.833     0.000     0.000
  127.000     0.000     0.000
  127.167     0.000     0.000
  127.333     0.000     0.000
  127.500     0.000     0.000
  127.667     0.000     0.000
  127.833     0.000     0.000
  128.000     0.000     0.000
  128.167     0.000     0.000
  128.333     0.000     0.000
  128.500     0.000     0.000
  128.667     0.000     0.000
  128.833     0.000     0.000
  129.000     0.000     0.000
  129.167     0.000     0.000
  129.333     0.000     0.000
  129.500     0.000     0.000
  129.667     0.000     0.000
  129.833     0.000     0.000
  130.000     0.000     0.000
  130.167     0.000     0.000
  130.333     0.000     0.000
  130.500     0.000     0.000
  130.667     0.000     0.000
  130.833     0.000     0.000
  131.000     0.000     0.000
  131.167     0.000     0.000
  131.333     0.000     0.000
  131.500     0.000     0.000
  131.667     0.000     0.000
  131.833     0.000     0.000
  132.000     0.000     0.000
  132.167     0.000     0.000
  132.333     0.000     0.000
  132.500     0.000     0.000
  132.667     0.000     0.000
  132.833     0.000     0.000
  133.000     0.000     0.000
  133.167     0.000     0.000
  133.333     0.000     0.000
  133.500     0.000     0.000
  133.667     0.000     0.000
  133.833     0.000     0.000
  134.000     0.000     0.000
  134.167     0.000     0.000
  134.333     0.000     0.000
  134.500     0.000     0.000
  134.667     0.000     0.000
  134.833     0.000     0.000
  135.000     0.000     0.000
  135.167     0.000     0.000
  135.333     0.000     0.000
  135.500     0.000     0.000
  135.667     0.000     0.000
  135.833     0.000     0.000
  136.000     0.000     0.000
  136.167     0.000     0.000
  136.333     0.000     0.000
  136.500     0.000     0.000
  136.667     0.000     0.000
  136.833     0.000     0.000
  137.000     0.000     0.000
  137.167     0.000     0.000
  137.333     0.000     0.000
  137.500     0.000     0.000
  137.667     0.000     0.000
  137.833     0.000     0.000
  138.000     0.000     0.000
  138.167     0.000     0.000
  138.333     0.000     0.000
  138.500     0.000     0.000
  138.667     0.000     0.000
  138.833     0.000     0.000
  139.000     0.000     0.000
  139.167     0.000     0.000
  139.333     0.000     0.000
  139.500     0.000     0.000
  139.667     0.000     0.000
  139.833     0.000     0.000
  140.000     0.000     0.000
  140.167     0.000     0.000
  140.333     0.000     0.000
  140.500     0.000     0.000
  140.667     0.000     0.000
  140.833     0.000     0.000
  141.000     0.000     0.000
  141.167     0.000     0.000
  141.333     0.000     0.000
  141.500     0.000     0.000
  141.667     0.000     0.000
  141.833     0.000     0.000
  142.000     0.000     0.000
  142.167     0.000     0.000
  142.333     0.000     0.000
  142.500     0.000     0.000
  142.667     0.000     0.000
  142.833     0.000     0.000
  143.000     0.000     0.000
  143.167     0.000     0.000
  143.333     0.000     0.000
  143.500     0.000     0.000
  143.667     0.000     0.000
  143.833     0.000     0.000
  144.000     0.000     0.000
  144.167     0.000     0.000
  144.333     0.000     0.000
  144.500     0.000     0.000
  144.667     0.000     0.000
  144.833     0.000     0.000
  145.000     0.000     0.000
  145.167     0.000     0.000
  145.333     0.000     0.000
  145.500     0.000     0.000
  145.667     0.000     0.000
  145.833     0.000     0.000
  146.000     0.000     0.000
  146.167     0.000     0.000
  146.333     0.000     0.000
  146.500     0.000     0.000
  146.667     0.000     0.000
  146.833     0.000     0.000
  147.000     0.000     0.000
  147.167     0.000     0.000
  147.333     0.000     0.000
  147.500     0.000     0.000
  147.667     0.000     0.000
  147.833     0.000     0.000
  148.000     0.000     0.000
  148.167     0.000     0.000
  148.333     0.000     0.000
  148.500     0.000     0.000
  148.667     0.000     0.000
  148.833     0.000     0.000
  149.000     0.000     0.000
  149.167     0.000     0.000
  149.333     0.000     0.000
  149.500     0.000     0.000
  149.667     0.000     0.000
  149.833     0.000     0.000
  150.000     0.000     0.000
  150.167     0.000     0.000
  150.333     0.000     0.000
  150.500     0.000     0.000
  150.667     0.000     0.000
  150.833     0.000     0.000
  151.000     0.000     0.000
  151.167     0.000     0.000
  151.333     0.000     0.000
  151.500     0.000     0.000
  151.667     0.000     0.000
  151.833     0.000     0.000
  152.000     0.000     0.000
  152.167     0.000     0.000
  152.333     0.000     0.000
  152.500     0.000     0.000
  152.667     0.000     0.000
  152.833     0.000     0.000
  153.000     0.000     0.000
  153.167     0.000     0.000
  153.333     0.000     0.000
  153.500     0.000     0.000
  153.667     0.000     0.000
  153.833     0.000     0.000
  154.000     0.000     0.000
  154.167     0.000     0.000
  154.333     0.000     0.000
  154.500     0.000     0.000
  154.667     0.000     0.000
  154.833     0.000     0.000
  155.000     0.000     0.000
  155.167     0.000     0.000
  155.333     0.000     0.000
  155.500     0.000     0.000
  155.667     0.000     0.000
  155.833     0.000     0.000
  156.000     0.000     0.000
  156.167     0.000     0.000
  156.333     0.000     0.000
  156.500     0.000     0.000
  156.667     0.000     0.000
  156.833     0.000     0.000
  157.000     0.000     0.000
  157.167     0.000     0.000
  157.333     0.000     0.000
  157.500     0.000     0.000
  157.667     0.000     0.000
  157.833     0.000     0.000
  158.000     0.000     0.000
  158.167     0.000     0.000
  158.333     0.000     0.000
  158.500     0.000     0.000
  158.667     0.000     0.000
  158.833     0.000     0.000
  159.000     0.000     0.000
  159.167     0.000     0.000
  159.333     0.000     0.000
  159.500     0.000     0.000
  159.667     0.000     0.000
  159.833     0.000     0.000
  160.000     0.000     0.000
  160.167     0.000     0.000
  160.333     0.000     0.000
  160.500     0.000     0.000
  160.667     0.000     0.000
  160.833     0.000     0.000
  161.000     0.000     0.000
  161.167     0.000     0.000
  161.333     0.000     0.000
  161.500     0.000     0.000
  161.667     0.000     0.000
  161.833     0.000     0.000
  162.000     0.000     0.000
  162.167     0.000     0.000
  162.333     0.000     0.000
  162.500     0.000     0.000
  162.667     0.000     0.000
  162.833     0.000     0.000
  163.000     0.000     0.000
  163.167     0.000     0.000
  163.333     0.000     0.000
  163.500     0.000     0.000
  163.667     0.000     0.000
  163.833     0.000     0.000
  164.000     0.000     0.000
  164.167     0.000     0.000
  164.333     0.000     0.000
  164.500     0.000     0.000
  164.667     0.000     0.000
  164.833     0.000     0.000
  165.000     0.000     0.000
  165.167     0.000     0.000
  165.333     0.000     0.000
  165.500     0.000     0.000
  165.667     0.000     0.000
  165.833     0.000     0.000
  166.000     0.000     0.000
  166.167     0.000     0.000
  166.333     0.000     0.000
  166.500     0.000     0.000
  166.667     0.000     0.000
  166.833     0.000     0.000
  167.000     0.000     0.000
  167.167     0.000     0.000
  167.333     0.000     0.000
  167.500     0.000     0.000
  167.667     0.000     0.000
  167.833     0.000     0.000
  168.000     0.000     0.000
  168.167     0.000     0.000
  168.333     0.000     0.000
  168.500     0.000     0.000
  168.667     0.000     0.000
  168.833     0.000     0.000
  169.000     0.000     0.000
  169.167     0.000     0.000
  169.333     0.000     0.000
  169.500     0.000     0.000
  169.667     0.000     0.000
  169.833     0.000     0.000
  170.000     0.000     0.000
  170.167     0.000     0.000
  170.333     0.000     0.000
  170.500     0.000     0.000
  170.667     0.000     0.000
  170.833     0.000     0.000
  171.000     0.000     0.000
  171.167     0.000     0.000
  171.333     0.000     0.000
  171.500     0.000     0.000
  171.667     0.000     0.000
  171.833     0.000     0.000
  172.000     0.000     0.000
  172.167     0.000     0.000
  172.333     0.000     0.000
  172.500     0.000     0.000
  172.667     0.000     0.000
  172.833     0.000     0.000
  173.000     0.000     0.000
  173.167     0.000     0.000
  173.333     0.000     0.000
  173.500     0.000     0.000
  173.667     0.000     0.000
  173.833     0.000     0.000
  174.000     0.000     0.000
  174.167     0.000     0.000
  174.333     0.000     0.000
  174.500     0.000     0.000
  174.667     0.000     0.000
  174.833     0.000     0.000
  175.000     0.000     0.000
  175.167     0.000     0.000
  175.333     0.000     0.000
  175.500     0.000     0.000
  175.667     0.000     0.000
  175.833     0.000     0.000
  176.000     0.000     0.000
  176.167     0.000     0.000
  176.333     0.000     0.000
  176.500     0.000     0.000
  176.667     0.000     0.000
  176.833     0.000     0.000
  177.000     0.000     0.000
  177.167     0.000     0.000
  177.333     0.000     0.000
  177.500     0.000     0.000
  177.667     0.000     0.000
  177.833     0.000     0.000
  178.000     0.000     0.000
  178.167     0.000     0.000
  178.333     0.000     0.000
  178.500     0.000     0.000
